name,summary,home_page,layer,dependent_number,dependency
H-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
K-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
KD-Lib,A Pytorch Library to help extend all Knowledge Distillation works,https://github.com/SforAiDL/KD_Lib,2,,tensorboard
MiScan,MiScan: mutation-inferred screening model of cancer,https://github.com/QuKunLab/MiScan,2,,tensorboard
MoveItPa,A movement recognition library,,2,,tensorboard
NERDA,Named Entity Recognition for DAnish based on Transformers,https://github.com/ebanalyse/NERDA,2,1.0,tensorboard
NLP-LIB,Python library for Language Model / Finetune using Transformer based models.,https://github.com/twilightdema/NLP_LIB.git,2,,tensorboard
NLP-LIB-cpu,Python library for Language Model / Finetune using Transformer based models.,https://github.com/twilightdema/NLP_LIB.git,2,,tensorboard
NeodroidAgent,"Reinforcement learning agent implementations, intended for use with the Neodroid platform",https://github.com/sintefneodroid/agent,2,,tensorboard
NeodroidVision,"Computer Vision algorithm implementations, intended for use with the Neodroid platform",https://github.com/sintefneodroid/Vision,2,,tensorboard
OpenNMT-py,A python implementation of OpenNMT,,2,5.0,tensorboard
PP-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
PaMoveIt,A movement recognition library,,2,,tensorboard
PyDGN,A Python Package for Deep Graph Networks,https://github.com/diningphil/PyDGN,2,,tensorboard
PyTorch-Bolt,A simple PyTorch wrapper making multi-node multi-GPU training much easier on Slurm,https://github.com/yzhang-dev/PyTorch-Bolt,2,,tensorboard
ReiL,A Reinforcement Learning Module for Python,https://research-git.uiowa.edu/sanzabizadeh/Reinforcement-Learning,2,,tensorboard
S-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
StockerMake,Modular Neural Network Protyping for Stock Market Prediction,https://github.com/CSLukeW/StockerMake,2,,tensorboard
T-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
TFTrainer,tensorflow utility trainer.,https://github.com/Nam-SW/TFTrainer.git,2,,tensorboard
THE-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
TakeBlipMessageStructurer,Message Structurer Package,,2,,tensorboard
TakeBlipNer,Named Entity Recognition Package,,2,1.0,tensorboard
TensorImage,Image classification library for easily and quickly deploying models and training classifiers,https://github.com/TensorImage/TensorImage,2,,tensorboard
Z-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
ZZ-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
aa-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
adeptRL,Reinforcement Learning Framework,https://github.com/heronsystems/adeptRL,2,,tensorboard
aether,Welcome to the Aether Platform,https://davidbernat.github.io/aether-user/html/index.html,2,,tensorboard
ai-projects,Collection of AI algorithms and agents.,https://github.com/jakkes/RL_Projects,2,,tensorboard
aichatbot,Python library for building custom AI Chatbot with just one line of code.,https://github.com/Elysian01/AI-Chatbot,2,,tensorboard
aim,"A super-easy way to record, search and compare AI experiments.",,2,1.0,tensorboard
aim-cli,"A super-easy way to record, search and compare AI experiments.",,2,,tensorboard
aironsuit,A model wrapper for automatic model design and visualization purposes.,https://github.com/AtrejuArtax/aironsuit,2,,tensorboard
aitoolbox,PyTorch Model Training and Experiment Tracking Framework,https://github.com/mv1388/AIToolbox,2,,tensorboard
allennlp,"An open-source NLP research library, built on PyTorch.",https://github.com/allenai/allennlp,2,47.0,tensorboard
altena,Feature extraction for categorical variables,https://github.com/kishimoto-banana/altena,2,,tensorboard
animal-classification,classification of animals using machine learning models,https://github.com/yijiaceline/CSF-project.git,2,,tensorboard
annolid,An Annotation and instance segmenation based mutiple animal tracking package,https://github.com/healthonrails/annolid,2,,tensorboard
anomaly-toolbox,Anomaly Toolbox Powered by GANs,https://github.com/zurutech/anomaly-toolbox,2,,tensorboard
anvil-rl,Adaptable tools to make reinforcement learning algorithms,,2,,tensorboard
anvilrl,Adaptable tools to make reinforcement learning algorithms,,2,,tensorboard
asdeep,A deep-learning tool to interpret variant function by allelic imbalance.,http://pypi.python.org/pypi/asdeep,2,,tensorboard
auquan-toolbox,Auquan Toolbox for developing strategies and backtesting,https://auquan.com,2,8.0,tensorboard
autoalbument,AutoML for image augmentation,https://github.com/albumentations-team/autoalbument,2,,tensorboard
autobazaar,The Machine Learning Bazaar,https://github.com/HDI-project/AutoBazaar,2,1.0,tensorboard
automlkiller,"Auto machine learning, deep learning library in Python.",https://github.com/toandaominh1997/automlkiller,2,,tensorboard
autonomous-learning-library,A library for building reinforcement learning agents in Pytorch,https://github.com/cpnota/autonomous-learning-library.git,2,,tensorboard
autorch,auto pytorch,https://github.com/skywalker0803r/autorch,2,,tensorboard
autorecsys,AutoRec: An Automated Recommender System,https://github.com/datamllab/AutoRec.git,2,,tensorboard
autotonne,"Auto machine learning, deep learning library in Python.",https://github.com/toandaominh1997/autotonne,2,,tensorboard
awehflow,Configuration based Apache Airflow,,2,,tensorboard
azureml-contrib-automl-dnn-forecasting,AutoML DNN Forecasting Models,https://docs.microsoft.com/en-us/azure/machine-learning/service/,2,,tensorboard
back,Backbone for PyTorch training loop,https://github.com/EvgenyKashin/backbone,2,,tensorboard
backwardcompatibilityml,Project for open sourcing research efforts on Backward Compatibility in Machine Learning,https://github.com/microsoft/BackwardCompatibilityML,2,,tensorboard
bark-ml,Gym Environments and Agents for Autonomous Driving,https://github.com/bark-simulator/bark-ml,2,,tensorboard
batukh,Document recognizer for multiple languages.,https://github.com/KoshurNizam/batukh,2,,tensorboard
bb-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
bdranalytics,Our analytics library to quickly get our data scientists up to speed,https://github.com/BigDataRepublic/bdr-analytics-py,2,,tensorboard
biotorch,BioTorch is a PyTorch framework specializing in biologically plausible learning algorithms.,https://github.com/jsalbert/biotorch,2,,tensorboard
bittensor,bittensor,https://github.com/opentensor/bittensor,2,,tensorboard
bootleg,Bootleg NED System,https://github.com/HazyResearch/bootleg,2,1.0,tensorboard
canvs-toolbox-canvsUser,A package for custom canvs analytics,https://github.com/dbproductionsLTD/canvs_tools,2,,tensorboard
car-speed-detection,Camera-based Car Speed Detection for Autonomous Driving,,2,1.0,tensorboard
catalyst,Catalyst. PyTorch framework for DL research and development.,https://github.com/catalyst-team/catalyst,2,5.0,tensorboard
catalyst-rl,Catalyst.RL. PyTorch framework for RL research.,https://github.com/catalyst-team/catalyst-rl,2,,tensorboard
cca-zoo,"Canonical Correlation Analysis Zoo: CCA, GCCA, MCCA, DCCA, DGCCA, DVCCA, DCCAE, KCCA and regularised variants including sparse CCA , ridge CCA and elastic CCA",https://github.com/jameschapman19/cca_zoo,2,,tensorboard
ciphey,Automated decryption tool using machine learning & common sense,https://github.com/brandonskerritt/ciphey,2,,tensorboard
clarinpl-embeddings,,https://github.com/CLARIN-PL/embeddings,2,,tensorboard
cleanrl,High-quality single file implementation of Deep Reinforcement Learning algorithms with research-friendly features,,2,,tensorboard
clinicadl,Deep learning classification with clinica,https://github.com/aramis-lab/clinicadl,2,,tensorboard
coax,Plug-n-play reinforcement learning with OpenAI Gym and JAX,https://coax.readthedocs.io,2,,tensorboard
collaborative-filtering,A package for collaborative filtering recommendation,https://github.com/yusanshi/collaborative-filtering,2,,tensorboard
colorizexl,Colorize and recolorize large images,https://github.com/nfreundlich/colorizexl,2,,tensorboard
conformer-rl,Deep Reinforcement Library for Conformer Generation,https://github.com/ZimmermanGroup/conformer-rl,2,,tensorboard
cosmic-conn,"Cosmic-CoNN: A Cosmic Ray Detection Deep Learning Framework, Dataset, and Toolkit",https://github.com/cy-xu/cosmic-conn,2,,tensorboard
crslab,An Open-Source Toolkit for Building Conversational Recommender System(CRS),https://github.com/RUCAIBox/CRSLab,2,,tensorboard
crypten,CrypTen: secure machine learning in PyTorch.,https://github.com/facebookresearch/CrypTen,2,,tensorboard
crystalml,Integrated tool to measure the nucleation rate of protein crystals.,https://github.com/hlgirard/CrystalML,2,,tensorboard
cs272-project,NLP Final Project,https://github.com/taoyilee/cs272_project,2,,tensorboard
ctextinct,Educational Cyber Security Chatbot - Working to Making Cyber Threats Extinct,https://github.com/aapatrick/CT_Extinct/tree/master,2,,tensorboard
ctunet,3D UNet for CT segmentation with PyTorch,https://github.com/vfmatzkin/ctunet,2,,tensorboard
cycle-prediction,A package to train and predict the end of a process from        history logs,https://github.com/fazaki/cycle_prediction/tree/master,2,,tensorboard
darts,A python library for easy manipulation and forecasting of time series.,https://unit8co.github.io/darts/,2,3.0,tensorboard
ddbg,Debugger for ML Datasets,https://github.com/ml-illustrated/ddbg,2,,tensorboard
ddpw,A utility package to encapsulate the scaffolding for PyTorch's   Distributed Data Parallel,http://ddpw.projects-tvs.surge.sh,2,,tensorboard
decaptcha,A GUI automation Python module for solving Google reCAPTCHA v2,https://github.com/balanceofprobability/decaptcha,2,,tensorboard
deep-learning-utils,,,2,,tensorboard
deep-ner,Deep-NER: named entity recognizer based on ELMo or BERT as embeddings and CRF as final classifier,https://github.com/bond005/deep_ner,2,,tensorboard
deep-train,Decoupled training for PyTorch,https://github.com/harshsaini/deep-train,2,,tensorboard
deep-trainer,Helper to train deep neural networks,https://github.com/raphaelreme/deep-trainer,2,,tensorboard
